name,subtypes,address,sub_district,district,province,postal_code,country,latitude,longitude,phone,site,description,score
P Park Residence Charansanitwong,"Serviced apartment, Hotel",ึ ตึกพีปาร์คเรซซิเด็นซ์ ซอย จรัญสนิทวงศ์ 95/2 ถนนจรัญสนิทวงศ์ ซอยจรัญสนิทวงศ์ 95/2 ตำบลบางอ้อ อำเภอบางพลัด Bangkok 10700,ตำบลบางอ้อ,อำเภอบางพลัด,Bangkok,10700,Thailand,13.8058345,100.5113053,+66 2 885 5478,,,0
Praya Palazzo,"Hotel, Boutique, Event venue, Villa, Wedding venue","757 1 ถ. สมเด็จพระปิ่นเกล้า Bang Yi Khan, Bang Phlat, Bangkok 10700",Bang Yi Khan,Bang Phlat,Bangkok,10700,Thailand,13.7659413,100.4935126,+66 81 402 8118,http://www.prayapalazzo.com/,"Refined hotel in a riverside mansion offering an outdoor pool & bar, plus free breakfast.",0
Riva Surya Bangkok,Hotel,"23 Phra Athit Rd, Chana Songkhram, Phra Nakhon, Bangkok 10200",Chana Songkhram,Phra Nakhon,Bangkok,10200,Thailand,13.7621441,100.493128,+66 2 633 5000,https://www.rivasuryabangkok.com/en/?partner=6212&utm_source=google&utm_medium=gmb&utm_campaign=web_link,"Polished quarters in an upscale riverside hotel with terrace dining, an outdoor pool & a hot tub.",0
โกมลเรสซิเดนซ์ กรุงเทพ Komol Residence Bangkok,"Extended stay hotel, Serviced apartment","976 Borommaratchachonnani Rd, Bang Bumru, Bang Phlat, Bangkok 10700",Bang Bumru,Bang Phlat,Bangkok,10700,Thailand,13.78631,100.471642,+66 92 249 2001,,,0
Budget Bed Boutique Hotel,Hostel,"475 Charan Sanitwong 57 Alley, Lane 3-7, Bang Bumru, Bang Phlat, Bangkok 10700",Bang Bumru,Bang Phlat,Bangkok,10700,Thailand,13.7809664,100.4831102,+66 81 835 4654,,,0
Lamphu House Bangkok,Guest house,"75, 77 Ram Buttri, Chana Songkhram, Phra Nakhon, Bangkok 10200",Chana Songkhram,Phra Nakhon,Bangkok,10200,Thailand,13.7615091,100.4958966,+66 2 629 5861,http://www.lamphuhouse.com/,"No-frills rooms, some with air-conditioning & private bathrooms, in a basic hotel with a cafe/bar.",0
Beyond Suite Hotel,Hotel,"99 Charan Sanit Wong Rd, Bang Ao, Bang Phlat, Bangkok 10700",Bang Ao,Bang Phlat,Bangkok,10700,Thailand,13.7954514,100.5065372,+66 2 879 7199,http://www.beyondsuitebangkok.com/th/home.html,"Warm rooms & suites in a polished lodging offering a restaurant, a rooftop garden & an indoor pool.",0
Anwari Hotel,Hotel,"2/2 Charan Sanitwong 70/3 Alley Khwaeng Bang Phlat, Khet Bang Phlat, Bang Phlat, Banh Phlat, Bangkok 10700",Bang Phlat,Banh Phlat,Bangkok,10700,Thailand,13.7898636,100.5034466,+66 2 424 1247,https://anwarihotel.zoombookdirect.com/,,0
Trang Hotel Bangkok,Hotel,"99/1 Wisut Kasat, Bang Khun Phrom, Phra Nakhon, Bangkok 10200",Bang Khun Phrom,Phra Nakhon,Bangkok,10200,Thailand,13.764906,100.503627,+66 2 282 7100,http://www.tranghotelbangkok.com/,"Unfussy rooms in a casual lodging offering Cantonese dining, an outdoor pool & a karaoke bar.",0
Sudyod Apartment,Hotel,"46 Borommaratchachonnani Rd, Bang Bumru, Bang Phlat, Bangkok 10700",Bang Bumru,Bang Phlat,Bangkok,10700,Thailand,13.775652,100.481053,+66 82 333 3312,https://sudyod-resort-apartment.business.site/,,0
Sabye Bangkok,Hotel,"80 80/1-80/8 Soi Samsen 6, Ban Phan Thom, Phra Nakhon, Bangkok 10200",Ban Phan Thom,Phra Nakhon,Bangkok,10200,Thailand,13.7629402,100.5018418,+66 2 106 2591,https://sabyebangkokhotel.com/,"Hotel offering informal quarters, some with balconies, plus a restaurant & a bar.",0
56 Surawong Hotel Bangkok,Hotel,"56 Thanon Surawong, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.7300383,100.5311334,+66 2 267 3579,http://www.56surawong.com/,,0
Le Siam Hotel,Hotel,"3 Convent Rd, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.7268723,100.5338143,+66 2 233 5345,http://www.lesiamhotel.com/,"Modern, colorful hotel with bright rooms & suites, plus a relaxed cafe/bar & an outdoor pool.",0
Kokotel Bangkok Surawong,Hotel,"5, 181/1-5 Thanon Surawong, Suriya Wong, Bang Rak, Bangkok 10500",Suriya Wong,Bang Rak,Bangkok,10500,Thailand,13.7275325,100.5244741,+66 83 973 2181,https://www.kokotel.com/surawong/,Streamlined rooms with free Wi-Fi in a whimsical property offering a cafe/bar & a play area.,0
LUXX Silom (Bangkok),Hotel,"6, 11 Decho Rd, Suriya Wong, Bang Rak, Bangkok 10500",Suriya Wong,Bang Rak,Bangkok,10500,Thailand,13.7262351,100.5252848,+66 2 635 8800,http://www.staywithluxx.com/,"Elegant boutique hotel offering chic accommodations with Japanese wood tubs, plus a library/lounge.",0
Heaven Boutique Hotel Bangkok,Hotel,"44, Silom Plaza, 491, 43 Silom Rd, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.7258652,100.5277003,+66 2 233 6666,,,0
The Raya Surawong Bangkok Hotel,Resort hotel,"24-30 Thanon Surawong, Si Phraya, Bang Rak, Bangkok 10500",Si Phraya,Bang Rak,Bangkok,10500,Thailand,13.7304461,100.53281,+66 2 238 0969,http://www.therayabangkok.com/,"Bright, contemporary rooms & suites in a relaxed hotel with a cafe, a TV lounge & free Wi-Fi.",0
The Tarntawan Hotel Surawong,Hotel,"119 5-10 Thanon Surawong, Suriya Wong, Bang Rak, Bangkok 10500",Suriya Wong,Bang Rak,Bangkok,10500,Thailand,13.7291749,100.5302745,+66 2 238 2620,https://www.tarntawansurawong.com/,"Down-to-earth hotel offering informal rooms & suites, as well as a restaurant & complimentary Wi-Fi.",0
Hotel Furama Silom,Hotel,"533 Si Lom, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.72476,100.525299,+66 2 688 6888,http://www.furama.com/silom,"Contemporary rooms in an upscale lodging featuring a warm restaurant, a rooftop pool & a gym.",0
Red Planet Bangkok Surawong,Hotel,"178 Thanon Surawong, Si Phraya, Bang Rak, Bangkok 10500",Si Phraya,Bang Rak,Bangkok,10500,Thailand,13.7289212,100.5269745,+66 2 637 0146,http://www.redplanethotels.com/hotel/surawong-bangkok/?utm_source=google&utm_medium=googlemybusiness&utm_campaign=surawong,"Informal property offering a relaxed restaurant, plus complimentary parking & Wi-Fi.",0
ibis Styles Bangkok Silom,Hotel,"289 Silom Rd, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.7274881,100.5315567,+66 2 352 5999,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B6N1&merchantid=seo-maps-TH-B6N1&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTcyMTkyOTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,0
Nantra Silom Hotel,Hotel,"130 8-12 Silom 8 Alley, Suriya Wong, Bang Rak, Bangkok 10500",Suriya Wong,Bang Rak,Bangkok,10500,Thailand,13.7277457,100.5303597,+66 86 341 7278,http://nantrahotelsresorts.com/NantraSilom/,"Warmly furnished rooms in a straightforward hotel offering a cafe, a terrace & free Wi-Fi.",0
Baan Silom Soi 3,Hotel,"Silom Rd, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.725648,100.531125,+66 2 235 4300,https://baansilomsoi3.thailandhotels.site/,Unpretentious hotel near Sala Daeng Skytrain station offering modest rooms & a furnished terrace.,0
FuramaXclusive Sathon Hotel,Hotel,"59 Si Lom 3, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.7238537,100.5310331,+66 2 266 8030,https://www.furama.com/xclusive/sathorn/,"Upscale lodging offering a restaurant & an outdoor pool, plus a fitness room & a sauna.",0
HQ Hostel,Hostel,"323 ถนน สีลม 5/3-4 Si Lom 3, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.7265283,100.5309952,+66 2 233 1598,https://www.facebook.com/HQhostelsilom/,"Simple hostel with basic dorms & private rooms, plus breakfast, a noodle restaurant & a coffee shop.",0
Dreamcatcher Bangkok,"Hostel, Bar, Cafe","9, 5 Si Lom 3, Silom, Bang Rak, Bangkok 10500",Silom,Bang Rak,Bangkok,10500,Thailand,13.7262173,100.5313738,+66 88 604 5467,https://dreamcatcherbangkok.thailandhotels.site/,Functional mixed-gender dorms & private rooms in a trendy hostel offering a rooftop terrace & a bar.,0
iSanook Bangkok,Hotel,"118 Soi Song Phra, Maha Phruttharam, Bang Rak, Bangkok 10500",Maha Phruttharam,Bang Rak,Bangkok,10500,Thailand,13.7325265,100.5217103,+66 2 633 3636,http://www.i-sanook.com/,"Straightforward hotel offering airy rooms & suites, plus a rooftop pool & restaurant.",0
Malizon Hotel & Residences | โรงเเรมมะลิซ้อน เรสซิเด้นซ์,Hotel,"56 Soi Krungtepnon 4, Tambon Bang Khen, ตำบลตลาดขวัญ, Nonthaburi 11000",Bang Khen,ตำบลตลาดขวัญ,Nonthaburi,11000,Thailand,13.8371615,100.5197818,+66 2 052 5499,https://www.malizon.com/,Casual quarters with balconies in a colorful hotel offering complimentary parking.,0
The State Apartment,Holiday apartment,"496, 35 Pracha Rat Sai 2 Rd, Khwaeng Bang Sue, Bang Sue, Bangkok 10800",Bang Sue,Bang Sue,Bangkok,10800,Thailand,13.8056583,100.5299335,+66 81 442 5516,https://www.booking.com/hotel/th/the-state.html,,0
Livotel Express Hotel Bang Kruai Nonthaburi,Hotel,"การไฟฟ้าฝ่ายผลิต 60/111 ซ.กำนันอุทัย, ถ Bang Kruai, Bang Kruai District, Nonthaburi 11130",Bang Kruai,Bang Kruai District,Nonthaburi,11130,Thailand,13.81086,100.508019,+66 2 880 6888,http://www.renthub.in.th/en/the-a-plus-mansion,Simply decorated rooms with balconies in a relaxed hotel featuring a restaurant & a terrace.,0
Bangkok Travel Suites Hotel,Hotel,"86/3 Moo.9 Ngamwongwan Rd., Bangken, Muang Nonthaburi, บางเขน, เมืองนนทบุรี, Nonthaburi 11000",บางเขน,เมืองนนทบุรี,Nonthaburi,11000,Thailand,13.8552206,100.5327688,+66 92 261 4394,http://www.bangkoktravelsuiteshotel.com/,Modest rooms in a low-key property featuring a fitness room & complimentary breakfast.,0
The Loft Resort,Resort hotel,"89 76-77 Wong Sawang 19 Alley, Bang Sue, Bangkok 10800",Bang Sue,Bang Sue,Bangkok,10800,Thailand,13.8240963,100.517524,+66 2 913 0557,http://www.theloftresortbkk.com/,Relaxed rooms & suites with balconies in an informal hotel offering a restaurant & a garden.,0
Bangpho Story - บางโพ สตอรี่,Hostel,"393/5 Pracharat Sai 2 Khwaeng Bang Sue, Bang Sue, Bangkok 10800",Bang Sue,Bang Sue,Bangkok,10800,Thailand,13.8065321,100.521082,+66 65 287 8909,,,0
Siam Palace Hotel,Hotel,"3 soi Pradipat10, Khwaeng Samsen Nai, Phaya Thai, Bangkok 10400",Samsen Nai,Phaya Thai,Bangkok,10400,Thailand,13.7900562,100.5421626,+66 2 271 1199,https://th-th.facebook.com/siampalacethailand/,,0
Siam Paradise Hotel / Siam Paradise entertainment Complex,"Entertainment, Hotel, Sauna, Spa and health club, Thai restaurant","Ngamwongwan Rd, Lat Yao, Chatuchak, Bangkok 10900",Lat Yao,Chatuchak,Bangkok,10900,Thailand,13.851413,100.554876,+66 84 000 0663,http://www.siamparadisehotel.com/,"Stylish, modern accommodations with rainfall showers, plus a restaurant, a karaoke bar & a spa.",0
The Garden Place,Hotel,"93 Soi Chula Kasem 16/4/2, Tambon Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000",Bang Khen,Mueang Nonthaburi District,Nonthaburi,11000,Thailand,13.8489266,100.539684,+66 84 559 0243,https://www.facebook.com/The-Garden-Place-%E0%B8%87%E0%B8%B2%E0%B8%A1%E0%B8%A7%E0%B8%87%E0%B8%A8%E0%B9%8C%E0%B8%A7%E0%B8%B2%E0%B8%99-109800504710117,Humble rooms with balconies & suites with kitchenettes in a low-key hotel with a rooftop pool.,0
Riverine Place Hotel and Residence,"Hotel, Serviced apartment","167 Phibun Songkhram Rd, Tambon Suan Yai, Mueang Nonthaburi District, Nonthaburi 11000",Suan Yai,Mueang Nonthaburi District,Nonthaburi,11000,Thailand,13.8285851,100.5006986,+66 2 966 6111,http://www.riverineplace.com/,"Airy quarters in an upscale apartment hotel offering an outdoor pool, a restaurant & river views.",0
Oakwood Suites Tiwanon Bangkok,"Serviced accommodation, Hotel","229 Thanon Krungthep-Nonthaburi, Bang Khen Sub-District, Bangkok 11000",None,Bang Khen Sub-District,Bangkok,11000,Thailand,13.8388349,100.5153659,,https://www.discoverasr.com/en/oakwood/thailand/oakwood-suites-tiwanon-bangkok?utm_source=google&utm_medium=gmb&utm_campaign=HQ-google-gmb-alwayson-20230220-all-en-th-th-oakwoodsuitestiwanonbangkok-eme,,0
G9 Bangkok,Lodging,"1032/26-27 Soi Phahon Yothin 18/1 Yeak 2, Opposite Channel 7 Khwaeng Chom Phon, Chatuchak, Bangkok 10900",Chatuchak,Chatuchak,Bangkok,10900,Thailand,13.8036163,100.5564099,+66 2 617 8888,http://www.g9bangkok.com/,"Casual lodging featuring sleek rooms & streamlined dorms, plus free Wi-Fi & a rooftop lounge.",0
Riski Residence Ngamwongwan,"Inn, Extended stay hotel, Indoor lodging, Student dormitory","Ngamwongwarn 8 Alley, Tambon Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000",Bang Khen,Mueang Nonthaburi District,Nonthaburi,11000,Thailand,13.8540587,100.5348811,+66 2 951 9500,http://www.riski-residence.com/,,0
IWISH HOTEL,Hotel,"441/5 Ngamwongwan Rd, Tambon Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000",Bang Khen,Mueang Nonthaburi District,Nonthaburi,11000,Thailand,13.856909,100.5440872,+66 2 591 3366,http://www.iwishhotel.com/,Functional rooms & suites in an informal hotel featuring a restaurant & a rooftop bar.,0
Bangkok Living Apartment,"Apartment building, Extended stay hotel","Bangkok Living Apartment, 96/5 Pradiphat Rd, Samsen Nai, Phaya Thai, Bangkok 10400",Samsen Nai,Phaya Thai,Bangkok,10400,Thailand,13.7919068,100.5368885,+66 80 264 8833,http://www.bangkokliving.co.th/,,0
at bangkok hotel,Hotel,"169, 12 Pradiphat Rd, แขวง พญาไท Phaya Thai, Bangkok 10400",แขวง พญาไท,Phaya Thai,Bangkok,10400,Thailand,13.7909711,100.5432487,+66 2 279 0503,https://www.facebook.com/Atbangkok2018/,"No-frills rooms in a casual hotel offering a relaxed restaurant & a spa area, plus free breakfast.",0
Centara Grand at Central Plaza Ladprao Bangkok,"Hotel, Convention center, Restaurant, Spa","1695 Phahonyothin Road, Chatuchak, Bangkok 10900",Chatuchak,Chatuchak,Bangkok,10900,Thailand,13.8177999,100.5598281,+66 2 541 1234,http://www.centarahotelsresorts.com/centaragrand/cglb/,"Grand hotel featuring 7 restaurants, 2 bars & a shopping arcade, plus a spa & a gym.",0
My Hotel Bangkok Noi,Hotel,"155/10 43 ซอย อรุณอัมรินทร์ Arun Amarin, Bangkok Noi, Bangkok 10700",Arun Amarin,Bangkok Noi,Bangkok,10700,Thailand,13.7678353,100.4842043,+66 86 752 5584,https://www.facebook.com/profile.php?id=100090262712797,,0
CHANN | Bangkok-Noi,"Hotel, Cafe, Restaurant","30/1 Soi Somdej Pra Pinklaow 1(Behind Wat Dusidharam, 27 Borommaratchachonnani Rd, Arun Amarin, Bangkok Noi, Bangkok 10700",Arun Amarin,Bangkok Noi,Bangkok,10700,Thailand,13.7614567,100.4868775,+66 82 632 3994,https://www.facebook.com/ChannBangkokNoi,"Modern rooms, some with balconies, in a relaxed hotel offering a restaurant & a riverfront deck.",0
SCENE BangkokNoi Hotel Bangkok,Hotel,"61, 1-8 Arun Amarin Rd, Arun Amarin, Bangkok Noi, Bangkok 10700",Arun Amarin,Bangkok Noi,Bangkok,10700,Thailand,13.7651107,100.4829875,+66 2 434 9855,https://scenebangkoknoihotel.thailandhotels.site/,,0
W1@Bangkoknoi,Hotel,"21 44 หมู่ 7 ซ.บางเลน 2 ถ. บางกรวย - ไทรน้อย Bang Len, Bang Yai District, Nonthaburi 11140",Bang Len,Bang Yai District,Nonthaburi,11140,Thailand,13.8371217,100.4260689,+66 2 195 1111,http://www.w1bangkoknoi.com/,,0
Baan Wang Lang Riverside,"Hotel, Bar, Coffee shop, Guest house, Restaurant","ริมแม่น้ำกรุงเทพ 342 Trok Watrakhang Alley, Siri Rat, Bangkok Noi, Bangkok 10700",Siri Rat,Bangkok Noi,Bangkok,10700,Thailand,13.7548,100.4865068,+66 2 412 7234,http://www.baanwanglang.com/,"Casual hotel offering a restaurant, a rooftop bar & a cafe, plus river views & free Wi-Fi.",0
New Siam Palace Ville Hotel,"Hotel, Restaurant","56 Rong Mai Alley, Chanasongkram, Phranakorn, Bangkok 10200",Chanasongkram,Phranakorn,Bangkok,10200,Thailand,13.7600966,100.4932265,+66 2 282 4142,http://www.newsiampalaceville.com/,"Casual lodging offering straightforward rooms with balconies, plus free breakfast & an outdoor pool.",0
Thamrongin Hotel,Hotel,"665 6 Charan Sanit Wong Rd, Arun Amarin, Bangkok Noi, Bangkok 10700",Arun Amarin,Bangkok Noi,Bangkok,10700,Thailand,13.7679684,100.4770651,+66 2 435 7450,https://thamronginhotel.thailandhotels.site/,Colorful rooms & suites in a refined hotel with a restaurant & a bar,0
Sleep Withinn Bangkok,"Hotel, Guest house, Lodge","76 Ram Buttri, Khwaeng Talat Yot, Phranakorn, Bangkok 10200",Talat Yot,Phranakorn,Bangkok,10200,Thailand,13.7602278,100.4969212,+66 2 280 3070,http://www.sleepwithinn.com/,Contemporary rooms with traditional decor in a relaxed budget property featuring a rooftop pool.,0
Buddy Boutique Inn,Hotel,"66 Chakrabongse Rd, Talat Yot, Phra Nakhon, Bangkok 10200",Talat Yot,Phra Nakhon,Bangkok,10200,Thailand,13.7593514,100.4954631,+66 2 629 1177,http://www.buddyboutiqueinn.com/,"Contemporary lodging with an industrial-chic vibe, featuring free Wi-Fi & air-conditioning.",0
ISSARA House Bangkok Hotel,Hotel,"260/37-39, Between, 36 Itsaraphap Rd, Wat Arun, Bangkok Yai, Bangkok 10600",Wat Arun,Bangkok Yai,Bangkok,10600,Thailand,13.73964,100.4853033,+66 98 229 9459,https://issarahousebangkok.thailandhotels.site/,,0
Theatre Residence,Hotel,"69, 4-8 Wat Rakhang Kositaram Woramahawihan Alley, Siri Rat, Bangkok Noi, Bangkok 10700",Siri Rat,Bangkok Noi,Bangkok,10700,Thailand,13.7536969,100.4860907,+66 2 866 2066,http://www.theatreresidence.com/,"Upscale hotel featuring river views, as well as an outdoor pool with poolside dining.",0
Sivalai Place,"Apartment building, Hostel, Hotel","168 Soi Isaraphab 33, Isaraphab Rd Bangkok 10600",Wat Tha Phra,Bangkok Yai,Bangkok,10600,Thailand,13.7427624,100.4770174,+66 2 412 4000,https://www.sivalaiplace.com/,"Unpretentious apartment hotel featuring a restaurant, tennis & a cafe, as well as an outdoor pool.",0
CASA 17 Hotel,Hotel,"163/14 Soi Somdet Phra Pinklao 17 Somdet Phra Pin Klao Rd, Bangkok Noi, Bangkok 10700",Arun Amarin,Bangkok Noi,Bangkok,10700,Thailand,13.769226,100.4836605,+66 2 424 9142,https://www.casa17hotel.com/,,0
Feel Good Bangkok Hostel,"Hostel, Serviced apartment","161/2, Soi Somdej Pra Pinklao 17 Arun Amarin Bangkok Noi Bangkok 10700",Arun Amarin,Bangkok Noi,Bangkok,10700,Thailand,13.7697765,100.4840848,+66 94 909 0978,https://feelgoodbkk.com/,Streamlined quarters with Wi-Fi in a casual hostel featuring a guest lounge & a shared kitchen.,0
Arun Old Town Hostel,Hostel,"Arun Old Town Hostel, 260/16 Itsaraphap Rd, Wat Arun, Bangkok Yai, Bangkok 10600",Wat Arun,Bangkok Yai,Bangkok,10600,Thailand,13.7393239,100.4848529,+66 96 245 6361,,Simple dorms & private rooms in a laid-back hostel offering a communal kitchen & a rooftop terrace.,0
NIL BKK,Hotel,"Wat, NIL BKK 168/11 Phetchakasem 16, Wat Tha Phra, Bangkok Yai, Bangkok 10600",Wat Tha Phra,Bangkok Yai,Bangkok,10600,Thailand,13.7283908,100.470651,+66 98 258 1849,https://nilbkk.thailandhotels.site/,,0
Hotels โรงแรม ท่าพระ hotel bangkok ที่พักใกล้ MRT ท่าพระ เอสพี,Hotel,"127 2 Petchkasem Rd, Wat Tha Phra, Bangkok Yai, Bangkok 10600",Wat Tha Phra,Bangkok Yai,Bangkok,10600,Thailand,13.7290694,100.4749591,+66 64 801 0919,"http://sppark.simdif.com/,%20https://www.facebook.com/hostelmrtthaphra",,0
ท๊อปเทล ท่าพระ Toptel Thaphra เพชรเกษม 16,Apartment complex,"212/248 Petchkasem Rd, Wat Tha Phra, Bangkok Yai, Bangkok 10600",Wat Tha Phra,Bangkok Yai,Bangkok,10600,Thailand,13.7289587,100.4710034,+66 65 526 1646,https://www.facebook.com/toptel16/,,0
season place,Corporate office,"61/15 Petchkasem Rd, Wat Tha Phra, Bangkok Yai, Bangkok 10600",Wat Tha Phra,Bangkok Yai,Bangkok,10600,Thailand,13.7284367,100.4776579,+66 81 819 0710,http://www.seasonapartment.com/th/,,0
Riva Arun Bangkok,Hotel,"392, 25-28 Maharaj Road Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",Phra Borom Maha Ratchawang,Phra Nakhon,Bangkok,10200,Thailand,13.7442385,100.4919255,+66 2 221 1859,https://www.rivaarunbangkok.com/en/?partner=6212&utm_source=google&utm_medium=gmb&utm_campaign=web_link,Bright rooms & suites in an elegant hotel with an elegant rooftop restaurant offering river views.,0
ARUN Riverside Bangkok (อรุณริเวอร์ไซด์),Hotel,"87-89 ถนนมหาราช แขวงพระบรมมหาราชวัง, พระบรมมหาราชวัง, Phra Nakhon, Bangkok 10200",พระบรมมหาราชวัง,Phra Nakhon,Bangkok,10200,Thailand,13.7449611,100.4911868,+66 2 221 5651,http://www.arunriverside.com/,,0
Kasayapi Hotel,Hotel,"102, 1 Itsaraphap Rd, Wat Arun, Bangkok Yai, Bangkok 10600",Wat Arun,Bangkok Yai,Bangkok,10600,Thailand,13.7380203,100.4855376,+66 98 279 5707,https://www.kasayapi.com/,,0
sala rattanakosin Bangkok,"Hotel, Bar, Restaurant, Thai restaurant","39 Maha Rat Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",Phra Borom Maha Ratchawang,Phra Nakhon,Bangkok,10200,Thailand,13.7452707,100.4909116,+66 2 622 1388,https://www.salahospitality.com/rattanakosin/?partner=6937&utm_source=Google&utm_medium=Google%20My%20Business&utm_campaign=Web_Link,"Stylish rooms, some with river views, in a sleek hotel offering an open-air rooftop bar.",0
Achcha อัชฌา - cafe and room,"Cafe, Hotel","23 Itsaraphap 23 Alley, Wat Arun, Bangkok Yai, Bangkok 10600",Wat Arun,Bangkok Yai,Bangkok,10600,Thailand,13.7375179,100.4855081,+66 82 465 9824,,,0
INN A DAY,"Hotel, Boutique, Guest house, Inn","61 Maha Rat Rd, Khwaeng Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",Phra Borom Maha Ratchawang,Phra Nakhon,Bangkok,10200,Thailand,13.745043,100.491178,+66 2 221 0577,http://www.innaday.com/,"Industrial-chic rooms in trendy lodging with breakfast, plus a restaurant, a bar & a terrace.",0
Sala Arun Hotel โรงแรมศาลาอรุณ,Hotel,"47-49 Tha Tian Aly, Phra Borom Maha Ratchawang, หาราชวัง, Bangkok 10200",Phra Borom Maha Ratchawang,หาราชวัง,Bangkok,10200,Thailand,13.7452887,100.4909858,+66 2 622 2932,http://www.salaarun.com/,Polished rooms in a premium hotel offering a refined restaurant & a rooftop bar with river views.,0
neil niwas นีลนิวาส,Hotel,"86 Soi Itsaraphap 28, Khwaeng Wat Arun, Bangkok Yai, Bangkok 10600",Wat Arun,Bangkok Yai,Bangkok,10600,Thailand,13.7372038,100.4875084,+66 95 793 2874,https://neilniwas.com/,,0
EKANAKE HOSTEL,Hostel,"112, 8 Arun Amarin Rd, ศิริราช, Bangkok Noi, Bangkok 10700",ศิริราช,Bangkok Noi,Bangkok,10700,Thailand,13.7525322,100.4836912,+66 63 802 2234,https://hostel-987.business.site/,"Laid-back dorms & private rooms in a modest hostel offering a cafe & a communal pantry, plus Wi-Fi.",0
"THE NEUF @RATCHADA,BANGKOK",Hotel,"544/1 Yu Charoen 1 Alley, Din Daeng, Bangkok 10400",Din Daeng,Din Daeng,Bangkok,10400,Thailand,13.7632206,100.5652793,+66 80 959 2895,https://lin.ee/AJAg7v2,,0
Centric Place Hotel,Hotel,"502/29 ซอย อยุ่เจริญ Thanon Asok - Din Daeng, Samsen Nai, Din Daeng, Bangkok 10400",Samsen Nai,Din Daeng,Bangkok,10400,Thailand,13.7579515,100.5642397,+66 2 246 0909,https://centricplacehotel.thailandhotels.site/,"Streamlined rooms in an unfussy hotel offering complimentary breakfast & Wi-Fi, plus a restaurant.",0
Amanta Hotel & Residence Ratchada,"Hotel, Serviced apartment","77 88 Ratchadaphisek Rd, Din Daeng, Bangkok 10407",Din Daeng,Din Daeng,Bangkok,10407,Thailand,13.7652956,100.5673912,+66 2 660 6300,http://www.visitamanta.com/ratchada,"Modern all-suite hotel with a glass-enclosed restaurant, plus an outdoor pool & a gym.",0
The Nhorm Hotel (เดอะ โณม โฮเทล),Hotel,"556 5-7 ซอย นาทอง แยก 7 Din Daeng, Bangkok 10400",Din Daeng,Din Daeng,Bangkok,10400,Thailand,13.7711205,100.5713271,+66 2 102 1182,https://nhormhotel.com/,,0
Roseate Ratchada Hotel,Hotel,"504/1 Ratchadaphisek 3 Alley, Din Daeng, Bangkok 10400",Din Daeng,Din Daeng,Bangkok,10400,Thailand,13.7605846,100.5643429,+66 2 642 1470,https://roseateratchada.thailandhotels.site/,,0
BADBED Hotel,Hotel,"58, 1 Inthamara 45 Alley, Din Daeng, Bangkok 10400",Din Daeng,Din Daeng,Bangkok,10400,Thailand,13.7861978,100.5691935,+66 2 003 3580,https://badbed-hotel.business.site/?copy,,0
โรงแรมโรสิเอ็ท กรุงเทพ,Hotel,"9 ซอย ประชาสงเคราะห์ 21 Din Daeng, Bangkok 10400",Din Daeng,Din Daeng,Bangkok,10400,Thailand,13.771576,100.5598522,+66 81 631 7115,https://rosiate-hotel-bangkok.business.site/,,0
Leelawadee Modern Resort,"Inn, Hotel","5489/7 ซอย รัชดาภิเษก 13 ถนน ประชาสงเคราะห์ Din Daeng, Bangkok 10400",Din Daeng,Din Daeng,Bangkok,10400,Thailand,13.7797374,100.5711454,+66 2 362 8844,,,0
Panmanee Apartment (ปานมณี อพาร์ทเม้น),"Hotel, Apartment complex","Phrom Sut Anuson Alley, Din Daeng, Bangkok 10400",Din Daeng,Din Daeng,Bangkok,10400,Thailand,13.7939404,100.5712078,+66 83 465 6879,http://www.panmaneeapartment.com/,,0
Buddy Place,Hotel,"Prachasook Rd, Dindang, Din Daeng, Bangkok 10400",Dindang,Din Daeng,Bangkok,10400,Thailand,13.7847552,100.5673655,+66 89 483 0018,,,0
